Texto,Precio_Kg,Precio_Lt
68 Guanajuato San José Iturbide ,18.48,9.98
68 Guanajuato San Luis de la Paz ,18.48,9.98
68 Guanajuato Santa Catarina ,18.48,9.98
68 Guanajuato Tierra Blanca ,18.48,9.98
68 Guanajuato Victoria ,18.48,9.98
68 Guanajuato Xichú ,18.48,9.98
69 Guanajuato Dolores Hidalgo Cuna de la Independencia Nacional ,18.59,10.04
69 Guanajuato San Diego de la Unión ,18.59,10.04
69 Guanajuato San Miguel de Allende ,18.59,10.04
70 Guanajuato Guanajuato ,18.99,10.25
70 Guanajuato Romita ,18.99,10.25
70 Guanajuato Silao de la Victoria ,18.99,10.25
71 Guanajuato Jaral del Progreso ,19.25,10.40
71 Guanajuato Valle de Santiago ,19.25,10.40
72 Guanajuato Moroleón ,19.06,10.29
72 Guanajuato Uriangato ,19.06,10.29
72 Guanajuato Yuriria ,19.06,10.29
72 Michoacán de Ocampo Cuitzeo ,19.06,10.29
73 Guerrero Acapulco de Juárez ,19.11,10.32
73 Guerrero Ayutla de los Libres ,19.11,10.32
73 Guerrero Florencio Villarreal ,19.11,10.32
73 Guerrero San Marcos ,19.11,10.32
73 Guerrero Tecoanapa ,19.11,10.32
73 Guerrero Las Vigas ,19.11,10.32
73 Guerrero Ñuu Savi ,19.11,10.32
74 Guerrero Chilapa de Álvarez ,18.83,10.17
74 Guerrero Chilpancingo de los Bravo ,18.83,10.17
74 Guerrero General Heliodoro Castillo ,18.83,10.17
74 Guerrero José Joaquín de Herrera ,18.83,10.17
74 Guerrero Juan R. Escudero ,18.83,10.17
74 Guerrero Leonardo Bravo ,18.83,10.17
74 Guerrero Mártir de Cuilapan ,18.83,10.17
74 Guerrero Mochitlán ,18.83,10.17
74 Guerrero Quechultenango ,18.83,10.17
74 Guerrero Tixtla de Guerrero ,18.83,10.17
75 Guerrero Atoyac de Álvarez ,18.48,9.98
75 Guerrero Benito Juárez ,18.48,9.98
75 Guerrero Coyuca de Benítez ,18.48,9.98
75 Guerrero Técpan de Galeana ,18.48,9.98
76 Guerrero Ajuchitlán del Progreso ,18.63,10.06
76 Guerrero Coyuca de Catalán ,18.63,10.06
76 Guerrero Pungarabato ,18.63,10.06
76 Guerrero San Miguel Totolapan ,18.63,10.06
76 Guerrero Tlapehuala ,18.63,10.06
76 Guerrero Zirándaro ,18.63,10.06
77 Guerrero Apaxtla ,18.87,10.19
77 Guerrero Atenango del Río ,18.87,10.19
77 Guerrero Buenavista de Cuéllar ,18.87,10.19
77 Guerrero Cocula ,18.87,10.19
77 Guerrero Copalillo ,18.87,10.19
77 Guerrero Cuetzala del Progreso ,18.87,10.19
77 Guerrero Eduardo Neri ,18.87,10.19
77 Guerrero Huitzuco de los Figueroa ,18.87,10.19
77 Guerrero Iguala de la Independencia ,18.87,10.19
77 Guerrero Pedro Ascencio Alquisiras ,18.87,10.19
77 Guerrero Pilcaya ,18.87,10.19
77 Guerrero Teloloapan ,18.87,10.19
77 Guerrero Tepecoacuilco de Trujano ,18.87,10.19
77 Guerrero Zitlala ,18.87,10.19
77 México Almoloya de Alquisiras ,18.87,10.19
77 México Ixtapan de la Sal ,18.87,10.19
77 México Sultepec ,18.87,10.19
77 México Tenancingo ,18.87,10.19
77 México Texcaltitlán ,18.87,10.19
77 México Tonatico ,18.87,10.19
77 México Zacualpan ,18.87,10.19
77 México Zumpahuacán ,18.87,10.19
77 Morelos Coatlán del Río ,18.87,10.19
77 Morelos Tetecala ,18.87,10.19
78 Guerrero Azoyú ,19.44,10.50
78 Guerrero Cuajinicuilapa ,19.44,10.50
78 Guerrero Igualapa ,19.44,10.50
78 Guerrero Juchitán ,19.44,10.50
78 Guerrero Ometepec ,19.44,10.50
78 Guerrero Tlacoachistlahuaca ,19.44,10.50
78 Guerrero Xochistlahuaca ,19.44,10.50
78 Guerrero San Nicolás ,19.44,10.50
79 Guerrero Ixcateopan de Cuauhtémoc ,18.56,10.02
79 Guerrero Taxco de Alarcón ,18.56,10.02
79 Guerrero Tetipac ,18.56,10.02
80 Guerrero Acatepec ,18.80,10.15
80 Guerrero Ahuacuotzingo ,18.80,10.15
80 Guerrero Alcozauca de Guerrero ,18.80,10.15
80 Guerrero Alpoyeca ,18.80,10.15
80 Guerrero Atlamajalcingo del Monte ,18.80,10.15
80 Guerrero Atlixtac ,18.80,10.15
80 Guerrero Cochoapa el Grande ,18.80,10.15
80 Guerrero Copala ,18.80,10.15
80 Guerrero Copanatoyac ,18.80,10.15
80 Guerrero Cualác ,18.80,10.15
80 Guerrero Cuautepec ,18.80,10.15
80 Guerrero Huamuxtitlán ,18.80,10.15
80 Guerrero Iliatenco ,18.80,10.15
80 Guerrero Malinaltepec ,18.80,10.15
80 Guerrero Marquelia ,18.80,10.15
80 Guerrero Metlatónoc ,18.80,10.15
80 Guerrero Olinalá ,18.80,10.15
80 Guerrero San Luis Acatlán ,18.80,10.15
80 Guerrero Tlacoapa ,18.80,10.15
80 Guerrero Tlalixtaquilla de Maldonado ,18.80,10.15
80 Guerrero Tlapa de Comonfort ,18.80,10.15
80 Guerrero Xalpatláhuac ,18.80,10.15
80 Guerrero Zapotitlán Tablas ,18.80,10.15
80 Oaxaca Calihualá ,18.80,10.15
80 Oaxaca Coicoyán de las Flores ,18.80,10.15
80 Oaxaca Constancia del Rosario ,18.80,10.15
80 Oaxaca Ixpantepec Nieves ,18.80,10.15
80 Oaxaca Putla Villa de Guerrero ,18.80,10.15
80 Oaxaca San Francisco Tlapancingo ,18.80,10.15
80 Oaxaca San Juan Bautista Tlachichilco ,18.80,10.15
80 Oaxaca San Juan Ihualtepec ,18.80,10.15
80 Oaxaca San Martín Itunyoso ,18.80,10.15
80 Oaxaca San Martín Peras ,18.80,10.15
80 Oaxaca San Miguel Ahuehuetitlán ,18.80,10.15
80 Oaxaca San Miguel Tlacotepec ,18.80,10.15
80 Oaxaca San Sebastián Tecomaxtlahuaca ,18.80,10.15
80 Oaxaca Santa Cruz de Bravo ,18.80,10.15
80 Oaxaca Santa Lucía Monteverde ,18.80,10.15
80 Oaxaca Santa María Yucuhiti ,18.80,10.15
80 Oaxaca Santiago del Río ,18.80,10.15
80 Oaxaca Santiago Juxtlahuaca ,18.80,10.15
80 Oaxaca Santiago Nuyoó ,18.80,10.15
80 Oaxaca Santiago Tamazola ,18.80,10.15
80 Oaxaca Santiago Yucuyachi ,18.80,10.15
80 Oaxaca Santo Tomás Ocotepec ,18.80,10.15
80 Oaxaca Silacayoápam ,18.80,10.15
80 Oaxaca Mesones Hidalgo ,18.80,10.15
80 Oaxaca San Antonio Tepetlapa ,18.80,10.15
80 Oaxaca San Juan Cacahuatepec ,18.80,10.15
80 Oaxaca San Pedro Amuzgos ,18.80,10.15
80 Oaxaca Santa María Ipalapa ,18.80,10.15
80 Oaxaca Santa María Zacatepec ,18.80,10.15
80 Puebla Ixcamilpa de Guerrero ,18.80,10.15
80 Guerrero Santa Cruz del Rincón ,18.80,10.15
81 Guerrero Coahuayutla de José María Izazaga ,19.04,10.28
81 Guerrero La Unión de Isidoro Montes de Oca ,19.04,10.28
81 Guerrero Petatlán ,19.04,10.28
81 Guerrero Zihuatanejo de Azueta ,19.04,10.28
82 Hidalgo Almoloya ,18.93,10.22
82 Hidalgo Apan ,18.93,10.22
82 Hidalgo Emiliano Zapata ,18.93,10.22
82 Tlaxcala Benito Juárez ,18.93,10.22
82 Tlaxcala Españita ,18.93,10.22
82 Tlaxcala Nanacamilpa de Mariano Arista ,18.93,10.22
82 Tlaxcala Sanctórum de Lázaro Cárdenas ,18.93,10.22
83 Hidalgo Atitalaquia ,18.47,9.97
84 Hidalgo Acatlán ,18.10,9.77
84 Hidalgo Acaxochitlán ,18.10,9.77
84 Hidalgo Actopan ,18.10,9.77
84 Hidalgo Agua Blanca de Iturbide ,18.10,9.77
84 Hidalgo Ajacuba ,18.10,9.77
84 Hidalgo Alfajayucan ,18.10,9.77
84 Hidalgo Atotonilco de Tula ,18.10,9.77
84 Hidalgo Atotonilco el Grande ,18.10,9.77
84 Hidalgo Cardonal ,18.10,9.77
84 Hidalgo Chapantongo ,18.10,9.77
84 Hidalgo Chilcuautla ,18.10,9.77
84 Hidalgo Cuautepec de Hinojosa ,18.10,9.77
84 Hidalgo El Arenal ,18.10,9.77
84 Hidalgo Eloxochitlán ,18.10,9.77
84 Hidalgo Epazoyucan ,18.10,9.77
